,NSC,CID,SMILES,MECHANISM,DrugBank ID,Drug Name,SID,is_dti
13532,694692,5469957,CC(C)[Si](C(C)C)(C(C)C)OCC=C(C(=O)N(C)C1=CC=CC=C1I)C(C)(C)C=C,Other,,"(2E)-N-(2-Iodophenyl)-N,3,3-trimethyl-2-[2-tri(propan-2-yl)silyloxyethylidene]pent-4-enamide",5469957,False
13533,694693,393205,CC(C)(C=C)C(=C)C(=O)NC1=CC=CC=C1I,Other,,"N-(2-Iodophenyl)-3,3-dimethyl-2-methylene-4-pentenamide",393205,False
13534,694698,393210,CC1=C2C3=C(C(=C(C(=C3C4=C(C=CC(=C24)C=C1)C)C)C(=O)OC)C(=O)OC)C,Other,,"Dimethyl 1,6,7,10-tetramethylfluoranthene-8,9-dicarboxylate",393210,False
13535,694766,135416145,COC1=NC(=C(C(=O)N1)NC2C(C(C(O2)CO)O)O)N,Other,,-,-,False
13536,694859,393232,C1=CC=C(C=C1)N(CCCN(CCC#N)C(=O)N)C(=O)NC2=CC=C(C=C2)NC(=O)N(CCCN(CCC#N)C(=O)N)C3=CC=CC=C3,Other,,1-[3-[Carbamoyl(2-cyanoethyl)amino]propyl]-3-[4-[[3-[carbamoyl(2-cyanoethyl)amino]propyl-phenylcarbamoyl]amino]phenyl]-1-phenylurea,393232,False
13537,694909,393259,CC1=CN(C(=O)NC1=O)C2CC(N(O2)CCO)C=C(C)C,Other,,"1-[(3S,5R)-2-(2-Hydroxyethyl)-3-(2-methylprop-1-enyl)-1,2-oxazolidin-5-yl]-5-methylpyrimidine-2,4-dione",393259,False
13538,694947,393281,CCOC(=O)C1=CC=C(N1)C([CH-]C(=O)OC(C)(C)C)O.[Ac],Other,,[1-Tert-butoxycarbonyl-2-(5-ethoxycarbonyl-1H-pyrrol-2-yl)-2-hydroxy-ethyl]actinium,393281,False
13539,694950,393285,COC1(CCN(C1=O)CC2=CC=CC=C2)OC,Other,,"1-Benzyl-3,3-dimethoxypyrrolidin-2-one",393285,False
13540,694955,5469963,CCOC(=O)C1=CC=C(N1C)C(=O)C(=C2CCCN2)C#N,Other,,Ethyl 5-[(2E)-2-cyano-2-pyrrolidin-2-ylideneacetyl]-1-methylpyrrole-2-carboxylate,5469963,False
13541,694956,5469964,CCOC(=O)C1=CC=C(N1C)C(=O)C(=C2CCCN2C)C(=O)C,Other,,-,-,False
13542,694957,393292,CCOC(=O)C1=CC(=C(N1C)C2=C(C(=NO2)C)Br)Br,Other,,Ethyl 4-bromo-5-(4-bromo-3-methyl-isoxazol-5-yl)-1-methyl-pyrrole-2-carboxylate,393292,False
13543,694978,393313,COC(=O)C1CC2CN(C1C=C2)C(=O)OCC3=CC=CC=C3,Other,,"2-Benzyl 6-methyl 2-azabicyclo[2.2.2]oct-7-ene-2,6-dicarboxylate",393313,False
13544,694980,393315,CC(=O)NC1=CC(=C(C=C1OC)N(CC=C)S(=O)(=O)C)[N+](=O)[O-],Other,,N-(4-(Allyl(methylsulfonyl)amino)-5-(hydroxy(oxido)amino)-2-methoxyphenyl)acetamide,393315,False
13545,694981,393316,CC1=CNC2=C(C=C(C(=C12)[N+](=O)[O-])N(CC=C)S(=O)(=O)C)OC,Other,,N-Allyl-N-(4-(hydroxy(oxido)amino)-7-methoxy-3-methyl-1H-indol-5-yl)methanesulfonamide,393316,False
13546,695020,5469974,C1CCCC2CN3CCCCC=CCCCCC4CC(C2CC3)CN(C4)CCCCC=CCC1,Other,,Haliclonacylamine-A,5469974,False
13547,695040,5469976,CC(=O)OC1=C(C=C(C=C1)C=CC(=O)OCCOC(=O)C=CC2=CC(=C(C=C2)OC(=O)C)OC(=O)C)OC(=O)C,Other,,"1,2-Bis[3-(3,4-diacetoxyphenyl)-propenoyloxy]ethane",5469976,False
13548,695041,393333,C1=CC=C(C(=C1)C(=O)NNC(=O)C2=CC(=CC=C2)Br)O,Other,,3-Bromo-N'-(2-hydroxybenzoyl)benzohydrazide,393333,False
13549,695044,393336,C1=CC=C(C(=C1)C(=O)NNC(=O)C2=CC=CS2)O,Other,,N'-Salicyloyl-2-thiophenecarbohydrazide,393336,False
13550,695046,393338,C1=CC=C(C(=C1)C(=O)NNC(=O)C2=CC=CC=C2Cl)O,Other,,2-Chloro-N'-(2-hydroxybenzoyl)benzohydrazide,393338,False
13551,695053,3005366,C1=CC=NC(=C1)NC(=S)NC2=CC(=CC=C2)Cl,Other,,STK489894,3005366,False
